address,SWC-100,SWC-101,SWC-102,SWC-103,SWC-104,SWC-105,SWC-106,SWC-107,SWC-108,SWC-109,SWC-110,SWC-111,SWC-112,SWC-113,SWC-114,SWC-115,SWC-116,SWC-117,SWC-118,SWC-119,SWC-120,SWC-121,SWC-122,SWC-123,SWC-124,SWC-125,SWC-126,SWC-127,SWC-128,SWC-129,SWC-130,SWC-131,SWC-132,SWC-133,SWC-134,SWC-135,SWC-136,solc_version,status,elapsed_sec
0x019b19a50964015c82b563002def6d71529fa4a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,fail,
0x01a3aae12c0cd95f2e36d415830703c76c392ba2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,4.181
0x01a74ea66c1d645ae2ef6b4fb4a161ff18d76f79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.22,ok,4.623
0x01ba6e694393cbf4c8493d352b0d1e5bb392fa55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,5.83
0x01c1e11508fd86f5114d88903528c7514eea0d14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,6.13
0x01c493d7da04e65f3ea21104194fc230f268a3b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,5.934
0x01d4c63dea52f30da1a65b7f39dd5c42e78003af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.25,ok,2.611
0x01d89ae494e6190d10295a0cab345923d0f144c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.182
0x01dfefbb8ea12f90c2ebe808b6e859791e01f8a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,4.646
0x01eab7318476a474a3c5555518c9e4bd1c336d76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.28,ok,3.898
0x01f0ea9ca78bfdb2af602a8228a28aa53440a415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,115.289
0x020d0c7576189f08031f44d8a5a7e1aa9595ba51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.322
0x022aeecaf6d9b24dbd1c053dece2ce686f1ab869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,fail,
0x022d3202d7be1485eda9ada4c8ab0b750d1bb625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,16.335
0x023d93ffa092e95238827521601e64c8bd569548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,5.876
0x024c2775eae7f75301e21773be7a029ccf8ad85b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,6.05
0x024df3ead3ecb6d2d3e7a3580f736abba27ce303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.19,ok,1.677
0x025ab3f204cc2e2ea6f15bb8f952dbd22abaf1de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,19.838
0x026f838bd0415bc6b1c175e2c1d7e4e772374301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.13
0x02841dd9ffa34ac5668ff712b892c1a1f05705f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,2.599
0x02956820074400138a4602d35ee1b7f3886eec1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.26,ok,29.054
0x029cd94c819e08c1c2ae78b08f2757333673168a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.125
0x02ab85cacc30858e7e81001f5ef429d026ce4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,5.934
0x02bd25f3d05380f5ffbe7c546132475e73965cc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.30,ok,5.699
0x02cb5ba7873682fd31ab738e8d44d8d8becf7db1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.20,ok,1.603
0x02ed54243e0803697c16bac41e2f7cc86f5c60ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,6.718
0x02f2146e0e3a83d4380e5b90531e26dab2bc5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8.23,ok,5.466
